"","depress1","depress2","depress3","depress4","depress5","depress6","depress7","depress8","depress9","depress10","depress11","depress12","depress13","depress14","depress15","depress16","depress17","depress18","depress19","depress20","depression","vote18","female","age","educ","hispanic","black","income","married","attend","unemployed","polint","inteff1","inteff2","motivation"
"69","1.0","3.0","1.0","4.0","2.0","1.0","2.0","4.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.55","1.0","0.0","54.0","5.0","1.0","0.0","11.0","1.0","4.0","0.0","0.6666667","0.75","1.0","0.8055556"
"70","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","41.0","2.0","1.0","0.0","10.0","0.0","4.0","0.0","0.0","0.25","1.0","0.41666666"
"71","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.1","1.0","0.0","60.0","6.0","1.0","0.0","10.0","1.0","1.0","0.0","0.33333334","1.0","1.0","0.7777778"
"72","1.0","1.0","1.0","2.0","3.0","1.0","1.0","4.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.3","0.0","1.0","18.0","2.0","1.0","0.0","9.0","0.0","1.0","0.0","0.33333334","0.25","0.5","0.3611111"
"73","2.0","3.0","2.0","2.0","3.0","3.0","2.0","2.0","3.0","3.0","3.0","2.0","1.0","2.0","3.0","3.0","2.0","1.0","3.0","3.0","2.4","0.0","1.0","53.0","4.0","1.0","0.0","1.0","0.0","1.0","1.0","0.6666667","0.25","0.25","0.3888889"
"74","1.0","1.0","2.0","1.0","2.0","2.0","1.0","4.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.65","1.0","0.0","77.0","7.0","0.0","0.0","10.0","1.0","1.0","0.0","0.6666667","1.0","0.75","0.8055556"
"75","2.0","2.0","2.0","4.0","3.0","2.0","2.0","3.0","2.0","2.0","4.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","2.35","0.0","1.0","37.0","3.0","1.0","0.0","7.0","1.0","4.0","0.0","0.0","0.0","0.0","0.0"
"76","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","3.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","2.0","1.2","1.0","1.0","41.0","5.0","1.0","0.0","11.0","1.0","2.0","0.0","1.0","0.75","0.75","0.8333333"
"77","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","47.0","5.0","1.0","0.0","11.0","1.0","4.0","0.0","0.6666667","0.25","0.5","0.47222224"
"78","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","2.0","1.0","2.0","1.0","2.0","1.0","2.0","1.4","1.0","1.0","61.0","7.0","1.0","0.0","12.0","1.0","2.0","0.0","0.6666667","0.75","1.0","0.8055556"
"79","2.0","1.0","1.0","2.0","1.0","1.0","1.0","2.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","1.25","0.0","0.0","52.0","6.0","0.0","0.0","9.0","1.0","4.0","0.0","0.0","0.25","0.25","0.16666667"
"80","1.0","1.0","1.0","3.0","1.0","2.0","2.0","3.0","1.0","1.0","3.0","3.0","1.0","2.0","1.0","2.0","1.0","1.0","1.0","1.0","1.6","0.0","1.0","43.0","2.0","1.0","0.0","4.0","1.0","1.0","0.0","1.0","0.75","0.25","0.6666667"
"81","1.0","1.0","1.0","4.0","3.0","2.0","1.0","4.0","1.0","1.0","4.0","3.0","1.0","1.0","1.0","3.0","1.0","1.0","1.0","1.0","1.8","1.0","0.0","28.0","4.0","1.0","0.0","1.0","0.0","1.0","1.0","0.6666667","0.25","0.75","0.5555556"
"82","3.0","3.0","2.0","3.0","2.0","4.0","3.0","3.0","4.0","3.0","3.0","2.0","1.0","3.0","2.0","2.0","4.0","4.0","1.0","4.0","2.8","0.0","1.0","26.0","3.0","1.0","0.0","7.0","0.0","1.0","1.0","0.6666667","0.25","0.5","0.47222224"
"83","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","60.0","4.0","1.0","0.0","10.0","1.0","4.0","0.0","0.6666667","0.75","0.75","0.7222222"
"84","2.0","2.0","3.0","4.0","1.0","1.0","2.0","1.0","1.0","2.0","1.0","3.0","3.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.65","0.0","1.0","48.0","3.0","1.0","0.0","7.0","1.0","4.0","0.0","0.6666667","0.0","0.0","0.22222222"
"85","1.0","1.0","1.0","4.0","1.0","1.0","1.0","4.0","1.0","1.0","1.0","4.0","1.0","1.0","1.0","4.0","1.0","1.0","1.0","1.0","1.6","1.0","0.0","57.0","6.0","1.0","0.0","13.0","1.0","4.0","0.0","1.0","1.0","1.0","1.0"
"86","3.0","1.0","3.0","1.0","2.0","3.0","3.0","3.0","2.0","2.0","1.0","2.0","2.0","2.0","3.0","3.0","1.0","1.0","4.0","4.0","2.3","0.0","1.0","21.0","3.0","1.0","0.0","6.0","0.0","5.0","0.0","0.6666667","0.5","0.75","0.6388889"
"87","4.0","4.0","4.0","1.0","3.0","4.0","3.0","3.0","3.0","4.0","3.0","3.0","4.0","4.0","4.0","2.0","4.0","3.0","4.0","4.0","3.4","1.0","1.0","25.0","6.0","1.0","0.0","3.0","0.0","4.0","0.0","1.0","0.0","0.0","0.33333334"
"88","4.0","3.0","2.0","2.0","1.0","2.0","2.0","4.0","1.0","3.0","3.0","2.0","4.0","4.0","3.0","4.0","3.0","4.0","1.0","3.0","2.75","0.0","1.0","31.0","2.0","1.0","0.0","1.0","1.0","5.0","1.0","1.0","0.5","0.25","0.5833333"
"89","1.0","1.0","3.0","4.0","4.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","2.0","3.0","1.0","3.0","1.0","3.0","2.0","3.0","2.6","0.0","0.0","19.0","2.0","1.0","0.0","6.0","0.0","1.0","0.0","0.6666667","0.75","0.5","0.6388889"
"90","1.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.05","1.0","1.0","63.0","4.0","1.0","0.0","2.0","1.0","3.0","0.0","1.0","0.0","1.0","0.6666667"
"91","1.0","1.0","1.0","1.0","2.0","1.0","1.0","2.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.15","1.0","0.0","53.0","4.0","1.0","0.0","6.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0"
